"Name","Pos","Age","Team","GP","G","A","PTS","+/-","PIM","PPG","PPP","SOG","PTS/G","NHLe"
"JAKOB PELLETIER","L","25.3","Syracuse Crunch","66","28","49","77","22","19","8","31","159","1.17","46"
"CAMERON HUGHES","F","29.7","Texas Stars","69","20","51","71","15","48","4","18","154","1.03","41"
"ALEX BARRE-BOULET","C","29.1","Colorado Eagles","70","26","44","70","15","30","10","21","215","1.00","40"
"ARTHUR KALIYEV","L","25.0","Belleville Senators","73","42","28","70","-13","30","16","23","273","0.96","38"
"ILYA PROTAS","C","20.0","Hershey Bears","72","29","38","67","18","40","11","19","148","0.93","37"
"TANNER LACZYNSKI","F","29.1","Henderson Silver Knights","66","23","44","67","38","35","4","16","145","1.02","40"
"FELIX UNGER SORUM","R","20.8","Chicago Wolves","72","17","49","66","14","20","6","21","116","0.92","37"
"SETH GRIFFITH","R","33.5","Bakersfield Condors","71","18","47","65","-2","50","3","24","82","0.92","36"
"KONSTA HELENIUS","F","20.1","Rochester Americans","66","21","43","64","-15","22","9","25","157","0.97","39"
"QUINN HUTSON","F","24.5","Bakersfield Condors","71","30","34","64","-7","84","12","29","202","0.90","36"
"JUSTIN ROBIDAS","F","23.3","Chicago Wolves","62","23","40","63","20","14","2","11","195","1.02","40"
"ALEX BELZILE","F","34.8","Laval Rocket","66","29","33","62","15","76","14","26","161","0.94","37"
"CONOR GEEKIE","C","22.2","Syracuse Crunch","60","18","44","62","11","60","7","26","181","1.03","41"
"DRYDEN HUNT","L","30.6","Calgary Wranglers","52","18","44","62","4","64","3","17","134","1.19","48"
"ZAC JONES","D","25.7","Rochester Americans","63","11","51","62","-14","14","3","38","170","0.98","39"
"GEORGII MERKULOV","L","25.7","Providence Bruins","70","24","37","61","11","38","5","22","135","0.87","35"
"ANDREW CRISTALL","L","21.4","Hershey Bears","72","20","40","60","-6","24","2","16","135","0.83","33"
"FILIP BYSTEDT","F","24.2","San Jose Barracuda","65","22","38","60","-2","22","6","21","119","0.92","37"
"LUCA DEL BEL BELLUZ","F","22.6","Cleveland Monsters","58","22","38","60","-3","2","9","27","142","1.03","41"
"MARTIN FRK","R","32.7","Calgary Wranglers","66","30","30","60","12","72","6","14","167","0.91","36"
"LAURENT DAUPHIN","F","31.3","Laval Rocket","56","15","44","59","18","34","4","18","139","1.05","42"
"LOGAN MORRISON","F","24.0","Coachella Valley Firebirds","68","29","30","59","26","42","8","14","158","0.87","35"
"VILJAMI MARJALA","C","23.4","Bakersfield Condors","72","17","42","59","-8","22","7","24","130","0.82","33"
"BRADLY NADEAU","F","21.2","Chicago Wolves","56","29","28","57","16","24","7","16","159","1.02","41"
"DYLAN DUKE","C","23.3","Syracuse Crunch","72","32","25","57","-6","42","18","27","151","0.79","32"
"JAGGER FIRKUS","F","22.2","Coachella Valley Firebirds","67","23","34","57","17","18","3","13","183","0.85","34"
"JAYSON MEGNA","F","36.4","Colorado Eagles","73","30","27","57","26","30","6","9","139","0.78","31"
"MITCHELL CHAFFEE","R","28.4","Syracuse Crunch","54","24","33","57","6","57","7","21","152","1.06","42"
"RORY KERINS","C","24.2","Calgary Wranglers","56","22","35","57","-11","16","4","13","118","1.02","41"
"XAVIER BOURGAULT","R","23.7","Belleville Senators","70","25","32","57","-17","34","5","18","180","0.81","32"
"AUSTIN POGANSKI","R","30.4","Tucson Roadrunners","70","22","34","56","0","18","4","13","118","0.80","32"
"MARTIN CHROMIAK","F","23.9","Ontario Reign","71","28","28","56","1","14","12","24","178","0.79","31"
"PATRICK BROWN","F","34.1","Providence Bruins","74","21","35","56","39","56","6","12","189","0.76","30"
"RILEY TUFTE","L","28.2","Providence Bruins","64","32","24","56","28","71","5","10","170","0.88","35"
"SASHA PASTUJOV","R","23.0","San Diego Gulls","71","21","35","56","3","26","7","21","243","0.79","31"
"NIKITA ALEXANDROV","F","25.8","Ontario Reign","66","16","39","55","-20","28","4","20","144","0.83","33"
"TREY FIX-WOLANSKY","F","27.1","Hartford Wolf Pack","72","31","24","55","-10","121","7","12","214","0.76","30"
"BRETT SENEY","F","30.3","Rockford IceHogs","70","19","35","54","2","65","1","7","133","0.77","31"
"JOHN LEONARD","L","27.9","Grand Rapids Griffins","47","33","21","54","8","12","5","10","161","1.15","46"
"LOGAN SHAW","F","33.7","Toronto Marlies","72","23","31","54","-1","45","5","12","133","0.75","30"
"RAPHAEL LAVOIE","F","25.8","Henderson Silver Knights","45","30","24","54","4","12","11","17","175","1.20","48"
"ALEX NYLANDER","R","28.3","Toronto Marlies","65","24","29","53","5","12","4","12","153","0.82","32"
"CAMERON HEBIG","C","29.4","Tucson Roadrunners","68","25","28","53","-1","30","6","15","174","0.78","31"
"COLE GUTTMAN","F","27.2","Ontario Reign","67","24","29","53","2","52","7","19","163","0.79","32"
"MATT LUFF","R","29.2","Bridgeport Islanders","65","18","35","53","-15","31","5","20","135","0.82","32"
"SEAN FARRELL","F","24.7","Laval Rocket","72","17","36","53","-2","20","9","24","143","0.74","29"
"BEN MCCARTNEY","F","25.0","Tucson Roadrunners","59","22","30","52","-2","75","5","12","135","0.88","35"
"BENOIT-OLIVIER GROULX","C","26.4","Toronto Marlies","59","28","24","52","6","34","2","6","136","0.88","35"
"JACK AHCAN","D","29.1","Colorado Eagles","61","11","41","52","25","48","4","22","149","0.85","34"
"MATEJ BLUMEL","L","26.1","Providence Bruins","58","21","31","52","23","20","6","16","179","0.90","36"
