Name;Pos;Age;Team
JAKOB PELLETIER;L;25.3;Syracuse Crunch
CAMERON HUGHES;F;29.7;Texas Stars
ALEX BARRE-BOULET;C;29.1;Colorado Eagles
ARTHUR KALIYEV;L;25.0;Belleville Senators
ILYA PROTAS;C;20.0;Hershey Bears
TANNER LACZYNSKI;F;29.1;Henderson Silver Knights
FELIX UNGER SORUM;R;20.8;Chicago Wolves
SETH GRIFFITH;R;33.5;Bakersfield Condors
KONSTA HELENIUS;F;20.1;Rochester Americans
QUINN HUTSON;F;24.5;Bakersfield Condors
JUSTIN ROBIDAS;F;23.3;Chicago Wolves
ALEX BELZILE;F;34.8;Laval Rocket
CONOR GEEKIE;C;22.2;Syracuse Crunch
DRYDEN HUNT;L;30.6;Calgary Wranglers
ZAC JONES;D;25.7;Rochester Americans
GEORGII MERKULOV;L;25.7;Providence Bruins
ANDREW CRISTALL;L;21.4;Hershey Bears
FILIP BYSTEDT;F;24.2;San Jose Barracuda
LUCA DEL BEL BELLUZ;F;22.6;Cleveland Monsters
MARTIN FRK;R;32.7;Calgary Wranglers
LAURENT DAUPHIN;F;31.3;Laval Rocket
LOGAN MORRISON;F;24.0;Coachella Valley Firebirds
VILJAMI MARJALA;C;23.4;Bakersfield Condors
BRADLY NADEAU;F;21.2;Chicago Wolves
DYLAN DUKE;C;23.3;Syracuse Crunch
JAGGER FIRKUS;F;22.2;Coachella Valley Firebirds
JAYSON MEGNA;F;36.4;Colorado Eagles
MITCHELL CHAFFEE;R;28.4;Syracuse Crunch
RORY KERINS;C;24.2;Calgary Wranglers
XAVIER BOURGAULT;R;23.7;Belleville Senators
AUSTIN POGANSKI;R;30.4;Tucson Roadrunners
MARTIN CHROMIAK;F;23.9;Ontario Reign
PATRICK BROWN;F;34.1;Providence Bruins
RILEY TUFTE;L;28.2;Providence Bruins
SASHA PASTUJOV;R;23.0;San Diego Gulls
NIKITA ALEXANDROV;F;25.8;Ontario Reign
TREY FIX-WOLANSKY;F;27.1;Hartford Wolf Pack
BRETT SENEY;F;30.3;Rockford IceHogs
JOHN LEONARD;L;27.9;Grand Rapids Griffins
LOGAN SHAW;F;33.7;Toronto Marlies
RAPHAEL LAVOIE;F;25.8;Henderson Silver Knights
ALEX NYLANDER;R;28.3;Toronto Marlies
CAMERON HEBIG;C;29.4;Tucson Roadrunners
COLE GUTTMAN;F;27.2;Ontario Reign
MATT LUFF;R;29.2;Bridgeport Islanders
SEAN FARRELL;F;24.7;Laval Rocket
BEN MCCARTNEY;F;25.0;Tucson Roadrunners
BENOIT-OLIVIER GROULX;C;26.4;Toronto Marlies
JACK AHCAN;D;29.1;Colorado Eagles
MATEJ BLUMEL;L;26.1;Providence Bruins
MATTHEW PHILLIPS;R;28.2;San Diego Gulls
MATTHEW SEMINOFF;F;22.5;Texas Stars
NICK ABRUZZESE;L;27.1;Syracuse Crunch
ADAM BECKMAN;L;25.1;Bridgeport Islanders
CHRIS WAGNER;C;35.1;Springfield Thunderbirds
GLENN GAWDIN;F;29.3;Ontario Reign
ISAAC HOWARD;L;22.2;Bakersfield Condors
JAKE LUCCHINI;C;31.1;Milwaukee Admirals
