1;Connor McDavid;29;EDM;C;;;;;;;;;;;;;;;;;;;
2;Nikita Kucherov;32;TBL;RW;;;;;;;;;;;;;;;;;;;
3;Nathan MacKinnon;30;COL;C;;;;;;;;;;;;;;;;;;;
4;Macklin Celebrini;19;SJS;F;;;;;;;;;;;;;;;;;;;
5;Mark Scheifele;32;WPG;C;;;;;;;;;;;;;;;;;;;
6;Nick Suzuki;26;MTL;C;;;;;;;;;;;;;;;;;;;
7;Martin Ne?as;27;COL;C;;;;;;;;;;;;;;;;;;;
8;David Pastr?†k;29;BOS;RW;;;;;;;;;;;;;;;;;;;
9;Leon Draisaitl;30;EDM;C;;;;;;;;;;;;;;;;;;;
10;Jason Robertson;26;DAL;LW;;;;;;;;;;;;;;;;;;;
11;Evan Bouchard;26;EDM;D;;;;;;;;;;;;;;;;;;;
12;Kyle Connor;29;WPG;LW;;;;;;;;;;;;;;;;;;;
13;Jack Eichel;29;VEG;C;;;;;;;;;;;;;;;;;;;
14;Kirill Kaprizov;28;MIN;LW;;;;;;;;;;;;;;;;;;;
15;Cole Caufield;25;MTL;RW;;;;;;;;;;;;;;;;;;;
16;Jake Guentzel;31;TBL;C;;;;;;;;;;;;;;;;;;;
17;Clayton Keller;27;UTA;C;;;;;;;;;;;;;;;;;;;
18;Wyatt Johnston;22;DAL;C;;;;;;;;;;;;;;;;;;;
19;Matt Boldy;24;MIN;LW;;;;;;;;;;;;;;;;;;;
20;Alex DeBrincat;28;DET;RW;;;;;;;;;;;;;;;;;;;
21;Artemi Panarin;34;2TM;LW;;;;;;;;;;;;;;;;;;;
21;Artemi Panarin;34;NYR;LW;;;;;;;;;;;;;;;;;;;
21;Artemi Panarin;34;LAK;LW;;;;;;;;;;;;;;;;;;;
22;Tim StÅtzle;24;OTT;LW;;;;;;;;;;;;;;;;;;;
23;Tage Thompson;28;BUF;C;;;;;;;;;;;;;;;;;;;
24;Zach Werenski;28;CBJ;D;;;;;;;;;;;;;;;;;;;
25;Sebastian Aho;28;CAR;F;;;;;;;;;;;;;;;;;;;
26;Mitch Marner;28;VEG;RW;;;;;;;;;;;;;;;;;;;
27;Cale Makar;27;COL;D;;;;;;;;;;;;;;;;;;;
28;William Nylander;29;TOR;RW;;;;;;;;;;;;;;;;;;;
29;Lane Hutson;21;MTL;D;;;;;;;;;;;;;;;;;;;
30;Mika Zibanejad;32;NYR;C;;;;;;;;;;;;;;;;;;;
31;Jack Hughes;24;NJD;C;;;;;;;;;;;;;;;;;;;
32;Mikko Rantanen;29;DAL;RW;;;;;;;;;;;;;;;;;;;
33;Lucas Raymond;23;DET;LW;;;;;;;;;;;;;;;;;;;
34;Quinn Hughes;26;2TM;D;;;;;;;;;;;;;;;;;;;
34;Quinn Hughes;26;VAN;D;;;;;;;;;;;;;;;;;;;
34;Quinn Hughes;26;MIN;D;;;;;;;;;;;;;;;;;;;
35;Connor Bedard;20;CHI;C;;;;;;;;;;;;;;;;;;;
36;Filip Forsberg;31;NSH;C;;;;;;;;;;;;;;;;;;;
37;Sidney Crosby;38;PIT;C;;;;;;;;;;;;;;;;;;;
38;Rasmus Dahlin;25;BUF;D;;;;;;;;;;;;;;;;;;;
39;Brandon Hagel;27;TBL;LW;;;;;;;;;;;;;;;;;;;
40;Ryan O'Reilly;34;NSH;C;;;;;;;;;;;;;;;;;;;
41;Nick Schmaltz;29;UTA;C;;;;;;;;;;;;;;;;;;;
42;Dylan Guenther;22;UTA;RW;;;;;;;;;;;;;;;;;;;
43;Adrian Kempe;29;LAK;LW;;;;;;;;;;;;;;;;;;;
44;Juraj Slafkovsky;21;MTL;LW;;;;;;;;;;;;;;;;;;;
45;Mark Stone;33;VEG;RW;;;;;;;;;;;;;;;;;;;
46;Mathew Barzal;28;NYI;C;;;;;;;;;;;;;;;;;;;
47;Drake Batherson;27;OTT;C;;;;;;;;;;;;;;;;;;;
48;Jesper Bratt;27;NJD;W;;;;;;;;;;;;;;;;;;;
49;Nikolaj Ehlers;29;CAR;LW;;;;;;;;;;;;;;;;;;;
50;John Tavares;35;TOR;C;;;;;;;;;;;;;;;;;;;
51;Darren Raddysh;29;TBL;D;;;;;;;;;;;;;;;;;;;
52;Andrei Svechnikov;25;CAR;RW;;;;;;;;;;;;;;;;;;;
53;Cutter Gauthier;22;ANA;LW;;;;;;;;;;;;;;;;;;;
